Tarih,Açıklama,Tutar,Bakiye,desc,cleaned_descs,category,subcategory,raw_answers,refined_answer,by_bank_pattern,by_keyword_rule,identifier
01/06/24,"Giden Transfer, Hayriye Meltem Özgür, Bireysel Ödeme,
EFT (FAST) sorgu no: 1727327234",2100.0,"7.012,94 TL","Giden Transfer, Hayriye Meltem Özgür, Bireysel Ödeme,
EFT (FAST) sorgu no: 1727327234","Giden Transfer, Hayriye Meltem Özgür, Bireysel Ödeme,
EFT (FAST) sorgu no: 1727327234",Outgoing P2P Transfers,Outgoing Money,.,.,True,False,"Giden Transfer, Hayriye Meltem Özgür"
01/06/24,"Encard Harcaması, I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY, 9.01 USD, işlem kuru 32.980000 TL",297.15,"6.715,79 TL","Encard Harcaması, I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY, 9.01 USD, işlem kuru 32.980000 TL","Encard Harcaması, I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY, ",Food & Dining,Restaurants,-,-,False,True,"I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY"
02/06/24,"Encard Harcaması, I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY, 9.94 USD, işlem kuru 32.980000 TL",327.82,"6.387,97 TL","Encard Harcaması, I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY, 9.94 USD, işlem kuru 32.980000 TL","Encard Harcaması, I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY, ",Food & Dining,Restaurants,from cache,from cache,False,True,"I.-SHOP WWW.PZZ.BY PAR g.p.
MACHULI BY"
02/06/24,"Encard Harcaması, WEBPOS SATIŞ IYZICO/AMAZON.
COM.TR ISTANBUL TRTR.",1906.44,"4.481,53 TL","Encard Harcaması, WEBPOS SATIŞ IYZICO/AMAZON.
COM.TR ISTANBUL TRTR.","Encard Harcaması, WEBPOS SATIŞ IYZICO/AMAZON.
COM.TR ISTANBUL TRTR.",Uncategorized,Uncategorized,"Okay, I understand the task. 

Please provide me with the string record you want me to classify. I will identify the main category and subcategory based on your provided rules.  
","I am unable to provide you with the string record you want me to classify, as I do not have access to external sources or the capability to access and analyze textual data.",False,False,"WEBPOS SATIŞ IYZICO/AMAZON.
COM.TR ISTANBUL TRTR."
02/06/24,"Encard Harcaması, GRAY HOUSE MINSK
BY, 4.52 USD, işlem kuru 32.980000 TL",149.07,"4.332,46 TL","Encard Harcaması, GRAY HOUSE MINSK
BY, 4.52 USD, işlem kuru 32.980000 TL","Encard Harcaması, GRAY HOUSE MINSK
BY, ",Food & Dining,Coffee,-,-,False,True,"GRAY HOUSE MINSK
BY"
03/06/24,"Ödeme, Türk Telekom Mobil (TT Mobil)-Faturalı Hat
faturası, abone no : 5059704043",390.0,"3.942,46 TL","Ödeme, Türk Telekom Mobil (TT Mobil)-Faturalı Hat
faturası, abone no : 5059704043","Ödeme, Türk Telekom Mobil (TT Mobil)-Faturalı Hat
faturası, abone no : 5059704043",Uncategorized,Uncategorized,"Let's get started!  

Please provide me with the string record you'd like me to classify. I'm ready to analyze it and determine the main category and subcategory based on your provided rules. 


For example, you can give me a record like:

""APPLE subscription for music streaming"" 
",I understand your request. Please provide me with the text you would like me to classify and I will extract the main category and subcategory based on your provided rules.,False,False,Türk Telekom Mobil (TT Mobil)
04/06/24,"Gelen Transfer, ENES ESVET KUZUCU, Bireysel Ödeme",-14000.0,"17.942,46 TL","Gelen Transfer, ENES ESVET KUZUCU, Bireysel Ödeme","Gelen Transfer, ENES ESVET KUZUCU, Bireysel Ödeme",Outgoing P2P Transfers,Outgoing Money,.,.,True,False,"Gelen Transfer, ENES ESVET KUZUCU"
04/06/24,"Encard Harcaması, YANDEX.GO MINSK BY,
2.47 USD, işlem kuru 32.782500 TL",80.97,"17.861,49 TL","Encard Harcaması, YANDEX.GO MINSK BY,
2.47 USD, işlem kuru 32.782500 TL","Encard Harcaması, YANDEX.GO MINSK BY,
",Transportation,Taxi,-,-,False,True,YANDEX.GO MINSK BY
04/06/24,"Encard Harcaması, Restoran Ramiz Minsk BY,
38.20 USD, işlem kuru 32.980000 TL",1259.84,"16.601,65 TL","Encard Harcaması, Restoran Ramiz Minsk BY,
38.20 USD, işlem kuru 32.980000 TL","Encard Harcaması, Restoran Ramiz Minsk BY,
",Uncategorized,Uncategorized,"Okay, I understand. Please provide me with the string record you want me to classify. 

I will analyze it based on your provided categories and rules, and give you the Main Category and Subcategory.  

For example, if you give me ""Netflix subscription renewal,"" I'll output:

* **Main Category:** Subscriptions
* **Subcategory:** Streaming Services 


Let's begin!  
","I understand. Please provide me with the string record you want me to classify.

I will analyze it based on your provided categories and rules, and give you the Main Category and Subcategory.

For example, if you give me ""Netflix subscription renewal,"" I'll output:

```
{'category': 'Subscriptions', 'subcategory': 'Streaming Services'}
```

Do not output any extra information and remove words like ""likely""!",False,False,Restoran Ramiz Minsk BY
04/06/24,"Encard Harcaması, YANDEX.GO MINSK BY,
2.54 USD, işlem kuru 33.142000 TL",84.18,"16.517,47 TL","Encard Harcaması, YANDEX.GO MINSK BY,
2.54 USD, işlem kuru 33.142000 TL","Encard Harcaması, YANDEX.GO MINSK BY,
",Transportation,Taxi,from cache,from cache,False,True,YANDEX.GO MINSK BY
